content,description,order,priority,project_id,labels,due_date,section_id,parent_id,child_tasks
T15 - Employee,[Employee](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),15,2,Inbox,Olio-ohjelmointi,2024-03-10,Jamk,,
T16 - Vehicle,[Vehicle](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),16,2,Inbox,Olio-ohjelmointi,2024-03-10,Jamk,,
T17 - Radio,[Radio](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),17,2,Inbox,Olio-ohjelmointi,2024-03-10,Jamk,,
T18 - Student Goods,[Student Goods](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),18,2,Inbox,Olio-ohjelmointi,2024-03-10,Jamk,,
T19 - Collection,[Collection](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),19,2,Inbox,Olio-ohjelmointi,2024-03-14,Jamk,,
T20 - Mammal,[Mammal](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),20,2,Inbox,Olio-ohjelmointi,2024-03-14,Jamk,,
T21 - NewCD,[NewCD](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),21,2,Inbox,Olio-ohjelmointi,2024-03-17,Jamk,,
T22 - Cards,[Cards](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),22,2,Inbox,Olio-ohjelmointi,2024-03-17,Jamk,,
T23 - Queue,[Queue](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),23,2,Inbox,Olio-ohjelmointi,2024-03-24,Jamk,,
T24 - Vehicle,[Vehicle](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),24,2,Inbox,Olio-ohjelmointi,2024-03-24,Jamk,,
T25 - Movie stars,[Movie stars](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),25,2,Inbox,Olio-ohjelmointi,2024-03-31,Jamk,,
T26 - SMLeague,[SMLeague](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),26,2,Inbox,Olio-ohjelmointi,2024-03-31,Jamk,,
T27 - SMLeagueExport,[SMLeagueExport](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),27,2,Inbox,Olio-ohjelmointi,2024-03-31,Jamk,,
T28 - Refrigerator,[Refrigerator](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),28,2,Inbox,Olio-ohjelmointi,2024-03-31,Jamk,,
T28 - Refrigerator,[Refrigerator](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),29,2,Inbox,Olio-ohjelmointi,2024-04-04,Jamk,,
T29 - Cashier,[Cashier](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),30,2,Inbox,Olio-ohjelmointi,2024-04-04,Jamk,,
T30 - Interface,[Interface](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),31,2,Inbox,Olio-ohjelmointi,2024-04-04,Jamk,,
T31 - Random,[Random](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),32,2,Inbox,Olio-ohjelmointi,2024-04-07,Jamk,,
T32 - Dice,[Dice](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),33,2,Inbox,Olio-ohjelmointi,2024-04-07,Jamk,,
T33 - Delegate,[Delegate](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),34,2,Inbox,Olio-ohjelmointi,2024-04-14,Jamk,,
T34 - Unit test for ArrayCalculator,[Unit test for ArrayCalculator](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),35,2,Inbox,Olio-ohjelmointi,2024-04-14,Jamk,,
T35 - Unit Test for Shopping cart,[Unit Test for Shopping cart](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),36,2,Inbox,Olio-ohjelmointi,2024-04-21,Jamk,,
T36 - Invoice,[Invoice](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),37,2,Inbox,Olio-ohjelmointi,2024-04-21,Jamk,,
T37 - Patterns,[Patterns](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),38,2,Inbox,Olio-ohjelmointi,2024-04-21,Jamk,,
T38 - Wooden Window,[Wooden Window](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),39,2,Inbox,Olio-ohjelmointi,2024-04-21,Jamk,,
T39 - Timer,[Timer](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),40,2,Inbox,Olio-ohjelmointi,2024-04-21,Jamk,,
T40 - MailBook with Lambda,[MailBook with Lambda](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),41,2,Inbox,Olio-ohjelmointi,2024-04-21,Jamk,,
T41 - MiniPeppi,[MiniPeppi](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),42,2,Inbox,Olio-ohjelmointi,2024-04-21,Jamk,,
T42 - FishRegister,[FishRegister](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),43,2,Inbox,Olio-ohjelmointi,2024-04-21,Jamk,,
T43 - Bonus task,[Bonus task](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),44,2,Inbox,Olio-ohjelmointi,2024-04-24,Jamk,,
