title,description,due_date
T22 - Cards,[Cards](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-17
T23 - Queue,[Queue](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-24
T24 - Vehicle,[Vehicle](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-24
T25 - Movie stars,[Movie stars](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-31
T26 - SMLeague,[SMLeague](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-31
T27 - SMLeagueExport,[SMLeagueExport](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-31
T28 - Refrigerator,[Refrigerator](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-31
T28 - Refrigerator,[Refrigerator](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-04
T29 - Cashier,[Cashier](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-04
T30 - Interface,[Interface](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-04
T31 - Random,[Random](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-07
T32 - Dice,[Dice](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-07
T33 - Delegate,[Delegate](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-14
T34 - Unit test for ArrayCalculator,[Unit test for ArrayCalculator](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-14
T35 - Unit Test for Shopping cart,[Unit Test for Shopping cart](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-21
T36 - Invoice,[Invoice](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-21
T37 - Patterns,[Patterns](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-21
T38 - Wooden Window,[Wooden Window](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-21
T39 - Timer,[Timer](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-21
T40 - MailBook with Lambda,[MailBook with Lambda](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-21
T41 - MiniPeppi,[MiniPeppi](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-21
T42 - FishRegister,[FishRegister](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-21
T43 - Bonus task,[Bonus task](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-04-24
